,collector,corpus,date,genre,idnumber,location,motifs,storytype,tradition
0,C. Bakker,CBAKKER.20E,1899-10-17 00:00:00,sprookje,CBAK0052,Zaanstreek (Noord-Holland) & Waterland (Noord-Holland),J2072.1,ATU 0775,mondeling
1,C. Bakker,CBAKKER.20E,1899-10-26 00:00:00,sprookje,CBAK0053,Koog aan de Zaan (Noord-Holland),B103.1.1;D1601.5;D1030.1,ATU 0563,mondeling
2,C. Bakker,CBAKKER.20E,1899-10-26 00:00:00,mop,CBAK0054,Hoorn (Noord-Holland),X610,ATU 1855,mondeling
3,C. Bakker,CBAKKER.20E,1899-10-26 00:00:00,mop,CBAK0055,Koog aan de Zaan (Noord-Holland),X435.1,ATU 1833A,mondeling
4,C. Bakker,CBAKKER.20E,1899-10-26 00:00:00,mop,CBAK0057,Leiden (Zuid-Holland),K1842,ATU 1829,mondeling
5,Journalist van het Algemeen Dagblad,STADSAGE.20E,1994-11-30 00:00:00,broodjeaapverhaal,STSAG001,Alkmaar (Noord-Holland),N211.1,ATU 0736A,krant
6,C. Bakker,CBAKKER.20E,1899-10-26 00:00:00,mop,CBAK0062,Koog aan de Zaan (Noord-Holland),J1814,ATU 1293,mondeling
7,C. Bakker,CBAKKER.20E,1899-10-26 00:00:00,mop,CBAK0064,Koog aan de Zaan (Noord-Holland),J2164.1,ATU 1276,mondeling
8,Journalist Nieuws van de Dag,STADSAGE.20E,1994-11-30 00:00:00,broodjeaapverhaal,STSAG002,Amsterdam (Noord-Holland),N211.1,ATU 0736A,krant
9,C. Bakker,CBAKKER.20E,1899-10-26 00:00:00,mop,CBAK0067,Waterland (Noord-Holland),X610,ATU 1855,mondeling
10,C. Bakker,CBAKKER.20E,1899-10-26 00:00:00,mop,CBAK0068,Waterland (Noord-Holland),X610,ATU 1855,mondeling
11,C. Bakker,CBAKKER.20E,1899-10-26 00:00:00,mop,CBAK0069,Waterland (Noord-Holland),X610,ATU 1855,mondeling
12,C. Bakker,CBAKKER.20E,1899-10-26 00:00:00,mop,CBAK0070,Waterland (Noord-Holland),X610,ATU 1855,mondeling
13,C. Bakker,CBAKKER.20E,1899-10-26 00:00:00,sprookje,CBAK0072,Friesland,G61;E613.0.1,ATU 0720,mondeling
14,C. Bakker,CBAKKER.20E,1899-10-26 00:00:00,mop,CBAK0074,Waterland (Noord-Holland),J2321.1,ATU 1739,mondeling
